indexView	首页VIEW
loginView	登录VIEW
loginResult	登录成功
regView	注册VIEW
regResult	注册成功
fpwView	找回密码VIEW
fpwResult	成功找回密码
billView	缴费账单VIEW
payView	支付VIEW
jzResult	成功交租普通
zfxxView	租房信息VIEW
houseView	房间详情VIEW
paymentView	缴费记录VIEW
allServiceView	全部服务VIEW
shenghuoView	生活缴费VIEW
daojiaView	到家服务VIEW
PayRentView	付房租VIEW
FillInPaymentView	填写租房信息-自助交租VIEW
jzAutoResult	成功交租自助
jzAutoPaymentView	自助交租-缴费单VIEW
authView	实名认证VIEW
authBankResult	绑卡实名
authResult	普通实名
accountView	账户VIEW
withDrawView	提现VIEW
withDrawResult	提现成功
